time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-018	1.000000e+000	7.026815e-010
1.420488923710607e-011	1.000000e+000	1.974246e-002
2.840977747421213e-011	1.000000e+000	3.911326e-002
4.261466571131819e-011	1.000000e+000	5.811240e-002
5.681955394842426e-011	1.000000e+000	7.673989e-002
7.102444218553031e-011	1.000000e+000	9.499571e-002
8.522933042263638e-011	1.000000e+000	1.128799e-001
9.943421865974242e-011	1.000000e+000	1.303924e-001
9.953421865974243e-011	1.000000e+000	1.305146e-001
1.141485043740289e-010	1.000000e+000	1.481691e-001
1.287627900883153e-010	1.000000e+000	1.654822e-001
1.433770758026017e-010	1.000000e+000	1.824540e-001
1.579913615168881e-010	1.000000e+000	1.990844e-001
1.726056472311745e-010	1.000000e+000	2.153734e-001
1.872199329454610e-010	1.000000e+000	2.313211e-001
2.018342186597474e-010	1.000000e+000	2.469274e-001
2.019342186597474e-010	1.000000e+000	2.470332e-001
2.165485043740311e-010	1.000000e+000	2.623218e-001
2.311627900883149e-010	1.000000e+000	2.773149e-001
2.457770758025987e-010	1.000000e+000	2.920123e-001
2.603913615168825e-010	1.000000e+000	3.064140e-001
2.750056472311663e-010	1.000000e+000	3.205202e-001
2.896199329454500e-010	1.000000e+000	3.343307e-001
3.042342186597338e-010	1.000000e+000	3.478456e-001
3.043342186597338e-010	1.000000e+000	3.479373e-001
3.189485043740164e-010	1.000000e+000	3.611771e-001
3.335627900882991e-010	1.000000e+000	3.741609e-001
3.481770758025817e-010	1.000000e+000	3.868887e-001
3.627913615168644e-010	1.000000e+000	3.993606e-001
3.774056472311470e-010	1.000000e+000	4.115764e-001
3.920199329454296e-010	1.000000e+000	4.235362e-001
4.066342186597123e-010	1.000000e+000	4.352400e-001
4.067342186597123e-010	1.000000e+000	4.353193e-001
4.213485043739981e-010	1.000000e+000	4.467849e-001
4.359627900882840e-010	1.000000e+000	4.580288e-001
4.505770758025698e-010	1.000000e+000	4.690510e-001
4.651913615168557e-010	1.000000e+000	4.798515e-001
4.798056472311415e-010	1.000000e+000	4.904302e-001
4.944199329454273e-010	1.000000e+000	5.007873e-001
5.090342186597132e-010	1.000000e+000	5.109227e-001
5.091342186597132e-010	1.000000e+000	5.109915e-001
5.237485043740034e-010	1.000000e+000	5.209205e-001
5.383627900882936e-010	1.000000e+000	5.306576e-001
5.529770758025839e-010	1.000000e+000	5.402027e-001
5.675913615168741e-010	1.000000e+000	5.495558e-001
5.822056472311642e-010	1.000000e+000	5.587170e-001
5.968199329454544e-010	1.000000e+000	5.676862e-001
6.114342186597446e-010	1.000000e+000	5.764633e-001
6.115342186597446e-010	1.000000e+000	5.765228e-001
6.261485043740348e-010	1.000000e+000	5.851213e-001
6.407627900883250e-010	1.000000e+000	5.935536e-001
6.553770758026153e-010	1.000000e+000	6.018196e-001
6.699913615169055e-010	1.000000e+000	6.099193e-001
6.846056472311956e-010	1.000000e+000	6.178528e-001
6.992199329454858e-010	1.000000e+000	6.256200e-001
7.138342186597760e-010	1.000000e+000	6.332209e-001
7.139342186597760e-010	1.000000e+000	6.332724e-001
7.285485043740662e-010	1.000000e+000	6.407187e-001
7.431627900883564e-010	1.000000e+000	6.480209e-001
7.577770758026467e-010	1.000000e+000	6.551792e-001
7.723913615169369e-010	1.000000e+000	6.621935e-001
7.870056472312271e-010	1.000000e+000	6.690638e-001
8.016199329455172e-010	1.000000e+000	6.757902e-001
8.162342186598074e-010	1.000000e+000	6.823725e-001
8.163342186598075e-010	1.000000e+000	6.824171e-001
8.309485043740976e-010	1.000000e+000	6.888655e-001
8.455627900883878e-010	1.000000e+000	6.951892e-001
8.601770758026781e-010	1.000000e+000	7.013882e-001
