,frequency,magnitude,phase
0,1,-0.0,-0.0
1,2,-0.0,-0.0
2,3,-0.0,-0.0
3,4,-0.0,-0.0
4,5,-0.0,-0.0
5,6,-0.0,-0.0
6,7,-0.0,-0.0
7,8,-0.0,-0.0
8,9,-0.0,-0.0
9,10,-0.0,-0.0
10,20,-0.0,-0.0
11,30,-0.0,-0.0
12,40,-0.0,-0.0
13,50,-0.0,-0.0
14,60,-0.0,-0.0
15,70,-0.0,-0.0
16,80,-0.0,-0.0
17,90,-0.0,-0.0
18,100,-0.0,-0.0
19,200,-0.01,-0.0
20,300,-0.01,-3.6
21,400,-0.02,-3.6
22,500,-0.02,-3.6
23,600,-0.03,-3.6
24,700,-0.05,-3.6
25,800,-0.06,-7.2
26,900,-0.07,-7.2
27,1000,-0.09,-7.2
28,2000,-0.34,-14.4
29,3000,-0.74,-21.6
30,4000,-1.23,-28.8
31,5000,-1.79,-36.0
32,6000,-2.4,-39.6
33,7000,-3.01,-43.2
34,8000,-3.63,-46.8
35,9000,-4.24,-50.4
36,10000,-4.83,-54.0
37,20000,-9.62,-68.4
38,30000,-12.88,-75.6
39,40000,-15.27,-79.2
40,50000,-17.17,-79.2
41,60000,-18.72,-82.8
42,70000,-20.05,-82.8
43,80000,-21.2,-82.8
44,90000,-22.22,-82.8
45,100000,-23.13,-86.4
